162;190;162,106,105,104,102,190;162,106,105,104,103,102,190
190;163;190,102,104,105,106,163;190,102,103,104,105,106,163
163;190;163,106,105,104,102,190;163,106,105,104,103,102,190
191;150;191,107,109,110,111,150;191,107,108,109,110,111,150
150;191;150,111,110,109,107,191;150,111,110,109,108,107,191
191;151;191,107,109,110,111,151;191,107,108,109,110,111,151
151;191;151,111,110,109,107,191;151,111,110,109,108,107,191
191;152;191,107,109,110,111,151,152;191,107,108,109,110,111,151,152;191,107,109,110,155,154,153,152;191,107,108,109,110,155,154,153,152
152;191;152,151,111,110,109,107,191;152,151,111,110,109,108,107,191;152,153,154,155,110,109,107,191;152,153,154,155,110,109,108,107,191
191;153;191,107,109,110,155,154,153;191,107,108,109,110,155,154,153;191,107,109,110,111,151,152,153;191,107,108,109,110,111,151,152,153
153;191;153,154,155,110,109,107,191;153,152,151,111,110,109,107,191;153,154,155,110,109,108,107,191;153,152,151,111,110,109,108,107,191
191;154;191,107,109,110,155,154;191,107,108,109,110,155,154
154;191;154,155,110,109,107,191;154,155,110,109,108,107,191
191;155;191,107,109,110,155;191,107,108,109,110,155
155;191;155,110,109,107,191;155,110,109,108,107,191
191;156;191,107,109,110,156;191,107,108,109,110,156
156;191;156,110,109,107,191;156,110,109,108,107,191
191;157;191,101,190,102,104,105,157;191,101,190,102,103,104,105,157
157;191;157,105,104,102,190,101,191;157,105,104,103,102,190,101,191
191;158;191,101,190,102,104,105,158;191,101,190,102,103,104,105,158
158;191;158,105,104,102,190,101,191;158,105,104,103,102,190,101,191
191;159;191,101,190,102,104,105,158,159;191,101,190,102,103,104,105,158,159
159;191;159,158,105,104,102,190,101,191;159,158,105,104,103,102,190,101,191
191;160;191,101,190,102,104,105,158,159,160;191,101,190,102,103,104,105,158,159,160;191,101,190,102,104,105,106,162,161,160;191,101,190,102,103,104,105,106,162,161,160
160;191;160,159,158,105,104,102,190,101,191;160,159,158,105,104,103,102,190,101,191;160,161,162,106,105,104,102,190,101,191;160,161,162,106,105,104,103,102,190,101,191
